Azimuth Angle,Radius Location,Cl,Cd,Cm,AoA,Mach
0.488692,2.34696,-0.00760212,0.0111311,-0.00884067,-0.0216437,0.146786
0.488692,3.01752,0.213631,0.0112021,-0.00845923,0.011855,0.187707
0.488692,3.68808,0.355099,0.0114364,-0.0082259,0.0333472,0.228762
0.488692,4.35864,0.452911,0.0117015,-0.00801218,0.0482943,0.269891
0.488692,5.0292,0.527106,0.0119076,-0.00778036,0.0592864,0.311064
0.488692,5.69976,0.593073,0.0119777,-0.00743764,0.0677081,0.352266
0.488692,6.37032,0.648904,0.0120485,-0.00697752,0.0743656,0.393487
0.506145,0.33528,-0.742933,0.692721,0.165966,-0.680426,0.0308053
0.506145,1.00584,-0.540776,0.124776,0.0296026,-0.212196,0.0663759
0.506145,1.6764,-0.39525,0.0120558,-0.0106984,-0.0808791,0.106176
0.506145,2.34696,-0.00759258,0.0111311,-0.00884064,-0.0216422,0.146806
0.506145,3.01752,0.213587,0.0112021,-0.00845929,0.0118483,0.187726
0.506145,3.68808,0.355026,0.0114363,-0.00822603,0.0333362,0.228782
0.506145,4.35864,0.452822,0.0117012,-0.00801238,0.0482806,0.269912
0.506145,5.0292,0.527011,0.0119072,-0.00778066,0.0592711,0.311086
0.506145,5.69976,0.59297,0.0119772,-0.00743804,0.0676915,0.352288
0.506145,6.37032,0.648795,0.0120478,-0.0069783,0.0743482,0.393511
0.523599,0.33528,-0.742973,0.692218,0.165846,-0.680029,0.0308168
0.523599,1.00584,-0.540847,0.124716,0.0296009,-0.212119,0.0663926
0.523599,1.6764,-0.395122,0.0120552,-0.0106974,-0.0808593,0.106194
0.523599,2.34696,-0.00758179,0.0111311,-0.00884062,-0.0216406,0.146825
0.523599,3.01752,0.213544,0.011202,-0.00845936,0.0118419,0.187746
0.523599,3.68808,0.354955,0.0114362,-0.00822615,0.0333254,0.228803
0.523599,4.35864,0.452735,0.011701,-0.00801257,0.0482673,0.269933
