Azimuth Angle,Radius Location,Moment_X,Moment_Y,Moment_Z,Moment_Mag
0.750492,3.68808,1265.85,-1377.37,-219.599,1883.55
0.750492,4.35864,1922.2,-2091.67,-334.807,2860.43
0.750492,5.0292,2772.99,-3017.6,-484.381,4126.74
0.750492,5.69976,3875.12,-4217,-677.586,5767.04
0.750492,6.37032,5257.84,-5721.74,-919.596,7824.89
0.767945,0.33528,10.978,-11.5249,-1.81281,16.0196
0.767945,1.00584,77.7325,-81.5926,-12.6946,113.406
0.767945,1.6764,218.362,-229.262,-36.3119,318.687
0.767945,2.34696,449.876,-472.463,-76.3268,656.838
0.767945,3.01752,789.212,-829.053,-136.4,1152.73
0.767945,3.68808,1259.64,-1323.49,-220.693,1840.39
0.767945,4.35864,1908.13,-2004.94,-335.497,2788.06
0.767945,5.0292,2747.09,-2886.59,-484.221,4014.15
0.767945,5.69976,3833.21,-4027.91,-676.269,5601.33
0.767945,6.37032,5192.76,-5456.52,-916.258,7588.01
0.785398,0.33528,11.3748,-11.5329,-1.91696,16.3116
0.785398,1.00584,78.8629,-79.9411,-13.0763,113.053
0.785398,1.6764,219.648,-222.698,-36.9854,314.972
0.785398,2.34696,449.974,-456.341,-77.2235,645.513
