Azimuth Angle,Radius Location,Cl,Cd,Cm,AoA,Mach
0.401426,3.68808,0.743143,0.0129994,-0.0067948,0.0933651,0.272243
0.401426,4.35864,0.731908,0.012863,-0.00677938,0.0908658,0.313407
0.401426,5.0292,0.733449,0.0126687,-0.00652043,0.0889469,0.354572
0.401426,5.69976,0.737146,0.0124862,-0.00628279,0.0874271,0.395738
0.401426,6.37032,0.74867,0.0124475,-0.00535676,0.0861938,0.436905
0.418879,0.33528,1.07811,0.01601,-0.0031848,0.148104,0.0684208
0.418879,1.00584,0.904489,0.0141611,-0.00547652,0.119181,0.109524
0.418879,1.6764,0.823102,0.0135151,-0.00623453,0.106047,0.150668
0.418879,2.34696,0.775893,0.0132051,-0.00657399,0.0985493,0.191828
0.418879,3.01752,0.745261,0.0130127,-0.00678052,0.0937005,0.232994
0.418879,3.68808,0.723829,0.0128781,-0.00692502,0.0903079,0.274165
0.418879,4.35864,0.71306,0.0127344,-0.00690742,0.0878012,0.315337
0.418879,5.0292,0.714015,0.0125473,-0.00666607,0.0858735,0.356511
0.418879,5.69976,0.717112,0.0123743,-0.00643249,0.084345,0.397686
0.418879,6.37032,0.728291,0.0123351,-0.00554828,0.0831033,0.438862
0.436332,0.33528,1.05459,0.0157064,-0.00356216,0.144087,0.0702829
0.436332,1.00584,0.884472,0.0140022,-0.00566295,0.115951,0.111396
0.436332,1.6764,0.80394,0.0133812,-0.00638488,0.102989,0.15255
0.436332,2.34696,0.756856,0.0130855,-0.00670234,0.0955359,0.193719
0.436332,3.01752,0.726278,0.0128935,-0.00690851,0.0906955,0.234895
0.436332,3.68808,0.704821,0.0127588,-0.00705318,0.087299,0.276075
0.436332,4.35864,0.694237,0.0126278,-0.00700256,0.0847843,0.317257
0.436332,5.0292,0.694691,0.0124417,-0.00678328,0.0828474,0.35844
0.436332,5.69976,0.697338,0.0122652,-0.0065791,0.0813098,0.399625
0.436332,6.37032,0.708172,0.0122237,-0.00574419,0.0800595,0.44081
0.453786,0.33528,1.0318,0.0154122,-0.00392784,0.140193,0.072131
0.453786,1.00584,0.864865,0.0138466,-0.00584556,0.112787,0.113255
0.453786,1.6764,0.784968,0.0132621,-0.0065128,0.0999859,0.154419
0.453786,2.34696,0.738146,0.012968,-0.00682849,0.0925741,0.195598
0.453786,3.01752,0.70761,0.0127763,-0.00703438,0.0877405,0.236783
